                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.4024,                 1.6894,                 1.8953,                0.68713,                0.62622,                0.71377,                0.46607,                 1.1755,                 1.3558,                 1.7496,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.3876,                 1.6788,                 1.8871,                 0.6927,                 0.6526,                0.71391,                0.47753,                 1.1622,                 1.2502,                 1.7386,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.3689,                 1.6821,                 1.8893,                0.68504,                0.66595,                0.72617,                 0.4819,                   1.23,                 1.2575,                 1.7844,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.3399,                 1.5749,                  1.852,                0.64968,                0.67621,                0.72182,                0.48086,                 1.1691,                 1.3451,                 1.7677,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.3613,                 1.6161,                 1.8539,                0.67109,                0.63339,                 0.7143,                0.48063,                  1.161,                 1.3222,                 1.7415,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.3486,                 1.6082,                 1.8774,                0.70442,                0.73017,                0.76517,                0.52048,                 1.1317,                 1.2114,                 1.7257,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.3107,                 1.5717,                 1.8116,                0.72184,                0.67828,                0.75153,                0.51144,                 1.1328,                 1.2481,                  1.716,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.3932,                 1.6727,                 1.9051,                0.69014,                0.72138,                0.77101,                0.52108,                 1.1501,                  1.198,                 1.7264,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.3534,                 1.6103,                 1.8474,                0.67621,                0.73064,                0.75828,                 0.5212,                 1.1105,                 1.1624,                 1.6869,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.3346,                 1.5928,                 1.8217,                0.77223,                0.67602,                0.78123,                0.53687,                 1.1173,                  1.138,                 1.6767,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.3414,                 1.5697,                 1.8392,                0.73441,                0.71473,                0.77259,                0.53142,                 1.0989,                 1.1226,                 1.6652,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.2897,                 1.5416,                 1.7902,                0.70786,                0.70823,                0.76114,                0.52301,                 1.1393,                 1.1867,                 1.6743,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.3408,                 1.6112,                 1.8211,                0.74092,                0.74585,                 0.7897,                0.53986,                 1.0926,                 1.1356,                 1.6454,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.3097,                 1.5552,                 1.7972,                0.76057,                0.71184,                0.79506,                0.54687,                  1.091,                 1.1577,                 1.6402,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.3071,                 1.5159,                    1.8,                0.77178,                0.70426,                0.78372,                0.54412,                 1.0754,                 1.1158,                 1.6264,             0.00022009,             0.00022009,             0.00022009
                     84,                 1.3079,                 1.4925,                 1.8019,                0.72286,                0.73216,                0.79273,                0.55384,                 1.0745,                 1.1003,                 1.6432,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.2648,                 1.4724,                 1.7661,                0.74445,                0.72078,                0.79123,                0.55364,                 1.0571,                 1.0909,                 1.6308,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.2973,                 1.5338,                 1.8036,                0.74934,                0.74249,                0.79824,                0.56751,                 1.0483,                 1.0906,                 1.6185,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.2647,                 1.4775,                 1.7628,                0.77214,                0.73069,                0.80371,                0.57599,                 1.0352,                 1.0687,                 1.5966,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.2702,                   1.47,                 1.7628,                0.76339,                0.76705,                0.81282,                0.57642,                 1.0345,                 1.0426,                 1.6044,             0.00016509,             0.00016509,             0.00016509
                     89,                 1.2747,                 1.5133,                 1.7957,                0.75265,                0.74571,                0.80802,                0.57508,                 1.0508,                 1.0672,                 1.6149,              0.0001541,              0.0001541,              0.0001541
                     90,                 1.2946,                 1.4857,                 1.7826,                0.83993,                0.71685,                0.82957,                0.58849,                 1.0384,                 1.0189,                 1.6116,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.1562,                 1.3111,                 1.7065,                0.73476,                0.71711,                0.80268,                0.56812,                 1.0511,                  1.105,                 1.5905,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.1251,                 1.2213,                 1.6864,                0.69798,                0.81263,                0.81812,                0.58405,                 1.0185,                 1.0272,                 1.5892,              0.0001211,              0.0001211,              0.0001211
                     93,                 1.1191,                 1.1816,                 1.6832,                0.76144,                0.76619,                0.83194,                0.60221,                 1.0217,                0.97969,                 1.5806,              0.0001101,              0.0001101,              0.0001101
                     94,                  1.121,                 1.1759,                 1.6764,                0.76453,                0.79289,                0.83637,                0.60673,                 1.0074,                0.96742,                  1.566,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 1.1132,                 1.1181,                 1.6611,                 0.7689,                0.80118,                 0.8415,                0.61732,                0.99354,                0.95854,                 1.5459,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                  1.083,                 1.1017,                 1.6357,                 0.7443,                0.82201,                0.84986,                0.62217,                0.99087,                 0.9522,                 1.5476,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 1.0887,                 1.1065,                 1.6368,                0.77767,                0.81897,                 0.8587,                0.63595,                 0.9736,                 0.9083,                 1.5227,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                 1.0769,                 1.0832,                 1.6312,                0.78637,                0.77771,                0.85074,                0.63093,                0.96491,                0.93088,                 1.5153,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                 1.0811,                 1.0656,                 1.6205,                0.83473,                0.76553,                0.86227,                 0.6393,                0.96526,                0.92149,                 1.5247,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                 1.0778,                 1.0611,                 1.6163,                0.77043,                0.81997,                0.85864,                0.63691,                0.96322,                0.91684,                 1.5075,             3.3108e-05,             3.3108e-05,             3.3108e-05
